UID,Datatype,Recipient,Condition,Class
286,15,14,0,1
286,9,1,0,1
286,9,15,3,0
286,9,12,5,1
286,14,11,0,1
286,9,12,1,1
286,9,4,0,1
286,8,11,4,1
286,9,12,0,1
286,8,14,1,1
286,14,8,0,0
286,15,11,1,1
286,4,15,0,1
286,15,14,1,1
286,8,12,0,1
286,5,12,0,1
286,4,3,0,1
286,9,11,5,1
286,15,12,0,1
286,5,15,1,0
286,8,12,4,1
194,9,12,5,1
194,13,9,0,0
194,9,7,0,1
194,2,6,0,1
194,7,12,5,1
194,11,14,4,1
194,9,2,0,1
194,2,2,0,1
194,7,12,3,1
194,11,11,0,1
194,5,1,0,0
194,7,14,5,1
194,5,15,4,0
194,9,11,3,1
194,7,14,3,1
194,11,12,0,1
194,2,12,3,0
194,2,11,4,1
194,11,12,4,0
194,5,8,0,0
194,5,6,0,1
194,5,8,0,0
194,7,2,0,0
194,11,12,0,1
194,11,14,0,1
194,2,4,0,1
194,9,10,0,1
194,9,8,0,1
194,5,2,0,0
194,2,5,0,1
194,2,12,5,0
194,2,10,0,1
194,9,15,2,1
194,5,10,0,1
194,5,11,2,0
194,11,12,1,0
194,9,11,4,1
194,5,15,5,0
194,2,4,0,1
194,13,2,0,0
194,7,9,0,1
194,13,12,3,1
194,7,12,1,1
194,5,6,0,0
194,13,12,0,1
194,2,2,0,1
1266,3,2,0,0
1266,10,7,0,1
1266,3,12,0,1
1266,1,14,5,0
1266,13,12,1,1
1266,1,14,0,1
1266,15,14,4,1
1266,9,10,0,1
1266,10,14,2,1
1266,1,14,0,0
1266,13,14,3,1
1266,1,12,0,0
1266,15,14,3,1
1266,1,8,0,0
1266,15,14,0,1
1266,9,12,2,1
1266,9,9,0,1
1266,13,12,2,1
1266,9,8,0,1
1266,15,7,0,1
1266,1,5,0,0
1266,9,6,0,1
1266,15,4,0,1
1266,10,15,3,1
1266,10,11,0,1
1266,10,12,0,1
1266,13,12,5,1
1266,3,4,0,1
1266,9,6,0,1
1266,9,11,1,0
1266,10,15,4,1
1266,3,6,0,1
1266,10,9,0,1
1266,13,11,3,1
1266,1,1,0,0
1266,3,12,0,1
1266,10,1,0,1
1266,9,4,0,1
1266,15,5,0,0
1266,10,14,0,1
1266,15,11,1,1
1266,10,14,1,1
1266,13,7,0,1
1266,13,8,0,1
1266,10,14,4,1
1266,3,9,0,1
513,12,15,0,1
513,1,14,5,1
513,1,14,3,1
513,6,15,5,0
513,7,4,0,1
513,12,15,5,1
513,8,12,0,1
513,7,15,0,0
513,1,14,2,0
513,4,12,2,0
513,9,12,3,0
513,6,2,0,1
513,7,6,0,1
513,1,12,3,1
513,11,14,3,1
513,2,11,3,1
513,6,14,1,0
513,7,15,3,1
513,12,12,3,0
513,8,12,2,0
513,11,14,1,1
513,6,12,2,0
513,14,14,0,1
513,3,12,0,1
513,11,12,2,0
513,3,14,5,1
513,9,8,0,1
513,7,5,0,0
513,11,11,0,1
513,4,14,0,0
513,7,14,2,1
513,6,12,5,0
513,6,7,0,1
513,1,14,4,1
513,15,1,0,0
513,2,8,0,1
513,9,12,0,1
513,2,11,0,1
513,6,12,0,1
513,3,14,4,1
513,7,15,0,0
513,4,8,0,1
513,11,11,2,0
513,7,8,0,1
513,15,6,0,1
513,7,5,0,1
1090,5,11,3,0
1090,8,5,0,1
1090,5,11,0,1
1090,12,12,0,1
1090,11,12,4,1
1090,11,12,2,1
1090,12,15,5,1
1090,11,14,5,1
1090,5,12,0,1
1090,12,7,0,1
1090,12,15,4,1
1090,5,14,5,1
1090,7,14,5,1
1090,7,14,4,1
1090,5,14,2,1
1090,3,5,0,0
1090,3,6,0,1
1090,3,3,0,0
1090,12,12,0,1
1090,5,12,0,1
1090,5,12,3,0
1090,8,8,0,1
1090,3,12,5,0
1090,3,1,0,0
1090,11,11,0,1
1090,3,8,0,0
1090,11,15,0,1
1090,8,12,5,1
1090,3,12,0,1
1090,5,11,0,0
1090,5,14,0,1
1090,12,2,0,1
1090,8,14,3,1
1090,7,5,0,1
1090,7,12,0,1
1090,3,7,0,0
1090,11,11,3,1
1090,8,3,0,1
1090,11,14,1,1
1090,8,3,0,1
1090,7,9,0,1
1090,12,3,0,1
1090,3,12,2,0
1090,12,8,0,1
1090,5,11,5,0
1090,12,11,0,1
