UID,Datatype,Recipient,Condition,Class
1,3,15,0,0
1,3,15,4,0
1,3,15,1,0
1,3,15,2,0
1,3,15,3,0
1,3,15,5,1
1,8,11,0,1
1,8,11,4,1
1,8,11,1,1
1,8,11,2,1
1,8,11,3,1
1,8,11,5,1
1,8,12,0,0
1,8,12,4,0
1,8,12,1,0
1,8,12,2,0
1,8,12,3,0
1,8,12,5,0
1,8,12,0,1
1,8,12,4,1
1,8,12,1,1
1,8,12,2,1
1,8,12,3,1
1,8,12,5,1
1,8,14,0,1
1,8,14,4,1
1,8,14,1,1
1,8,14,2,1
1,8,14,3,1
1,8,14,5,1
1,9,1,0,1
1,9,2,0,1
1,9,3,0,1
1,9,4,0,1
1,9,5,0,1
1,9,6,0,1
1,9,7,0,1
1,9,8,0,1
1,9,9,0,1
1,9,10,0,1
1,9,12,0,1
1,9,12,4,1
1,9,12,1,1
1,9,12,2,1
1,9,12,3,1
1,9,12,5,1
1,9,12,0,1
1,9,12,4,1
1,9,12,1,1
1,9,12,2,1
1,9,12,3,1
1,9,12,5,1
1,9,15,0,0
1,9,15,4,0
1,9,15,1,0
1,9,15,2,0
1,9,15,3,0
1,9,15,5,0
1,11,11,0,1
1,11,11,4,1
1,11,11,1,1
1,11,11,2,1
1,11,11,3,1
1,11,11,5,1
1,11,12,0,0
1,11,12,4,0
1,11,12,1,0
1,11,12,2,0
1,11,12,3,0
1,11,12,5,0
1,11,12,0,1
1,11,12,4,1
1,11,12,1,1
1,11,12,2,1
1,11,12,3,1
1,11,12,5,1
1,11,14,0,1
1,11,14,4,1
1,11,14,1,1
1,11,14,2,1
1,11,14,3,1
1,11,14,5,1
1,15,1,0,1
1,15,2,0,1
1,15,3,0,1
1,15,4,0,1
1,15,5,0,1
1,15,6,0,1
1,15,7,0,1
1,15,8,0,1
1,15,9,0,1
1,15,10,0,1
1,15,11,0,1
1,15,12,0,1
1,15,12,0,1
1,15,14,0,1
1,15,15,0,0
1,15,14,0,1
1,15,14,4,1
1,15,14,1,1
1,15,14,2,1
1,15,14,3,1
1,15,14,5,1
1,15,15,0,0
1,15,15,4,0
1,15,15,1,0
1,15,15,2,0
1,15,15,3,0
1,15,15,5,0
2,4,2,0,0
2,4,10,0,0
2,4,1,0,0
2,4,6,0,0
2,4,12,4,0
2,4,12,3,1
2,4,15,1,0
2,4,15,3,0
2,5,1,0,0
2,5,11,0,1
2,5,14,1,1
2,6,10,0,0
2,6,3,0,0
2,6,5,0,0
2,6,12,0,0
2,6,12,4,0
2,6,12,2,0
2,6,12,2,0
2,6,12,3,0
2,9,1,0,0
2,9,3,0,0
2,9,9,0,0
2,9,3,0,0
2,9,12,2,0
2,9,12,5,0
2,12,4,0,0
2,12,9,0,0
2,12,11,4,0
2,12,12,4,0
2,15,5,0,0
2,15,7,0,0
2,15,8,0,0
2,15,12,0,0
2,15,11,2,0
3,3,11,0,0
3,3,11,4,0
3,3,11,1,0
3,3,11,2,0
3,3,11,3,0
3,3,11,5,0
3,3,12,0,0
3,3,12,4,0
3,3,12,1,0
3,3,12,2,0
3,3,12,3,0
3,3,12,5,0
3,3,14,0,1
3,3,14,4,1
3,3,14,1,1
3,3,14,2,1
3,3,14,3,1
3,3,14,5,1
3,3,15,0,0
3,3,15,4,0
3,3,15,1,0
3,3,15,2,0
3,3,15,3,0
3,3,15,5,0
3,5,1,0,1
3,5,2,0,0
3,5,5,0,1
3,5,4,0,0
3,5,3,0,1
3,5,7,0,0
3,5,8,0,1
3,5,6,0,1
3,5,9,0,0
3,5,10,0,1
3,5,11,0,0
3,5,11,4,0
3,5,11,1,0
3,5,11,2,0
3,5,11,3,0
3,5,11,5,0
3,5,12,0,0
3,5,12,4,0
3,5,12,1,0
3,5,12,2,0
3,5,12,3,0
3,5,12,5,0
3,5,14,0,1
3,5,14,4,1
3,5,14,1,1
3,5,14,2,1
3,5,14,3,1
3,5,14,5,1
3,6,1,0,0
3,6,2,0,0
3,6,3,0,1
3,6,4,0,0
3,6,5,0,0
3,6,6,0,1
3,6,7,0,0
3,6,8,0,1
3,6,9,0,1
3,6,10,0,1
3,6,1,0,0
3,6,2,0,0
3,6,3,0,0
3,6,4,0,0
3,6,5,0,0
3,6,6,0,0
3,6,7,0,0
3,6,8,0,0
3,6,9,0,0
3,6,10,0,0
3,6,11,0,1
3,6,12,0,1
3,6,12,0,1
3,6,14,0,1
3,6,15,0,1
3,6,12,0,0
3,6,12,4,0
3,6,12,1,0
3,6,12,2,0
3,6,12,3,0
3,6,12,5,0
3,7,11,0,0
3,7,11,4,0
3,7,11,1,0
3,7,11,2,0
3,7,11,3,0
3,7,11,5,0
3,7,12,0,0
3,7,12,4,0
3,7,12,1,0
3,7,12,2,0
3,7,12,3,0
3,7,12,5,0
3,7,12,0,1
3,7,12,4,0
3,7,12,1,0
3,7,12,2,1
3,7,12,3,1
3,7,12,5,0
3,7,14,0,1
