1047,healthcare,law enforcement agencies,if the data is stored for as long as necessary for the purpose,0
1047,camera,law enforcement agencies,no condition,1
1047,shopping,your housemates,no condition,1
1047,shopping,your friends,no condition,1
1047,video call,your siblings,no condition,0
1047,healthcare,visitors in general,no condition,1
1047,shopping,close family,no condition,1
1047,shopping,advertising agencies,if the data is stored for as long as necessary for the purpose,1
1047,shopping,advertising agencies,if the data is kept confidential,1
1047,healthcare,your parents,no condition,1
1047,video call,house keeper/helper,no condition,1
1047,shopping,visitors in general,no condition,1
1047,healthcare,close family,no condition,1
1047,sleep hours,advertising agencies,if you are notified,1
1047,shopping,your friends,no condition,1
1047,video call,close family,no condition,0
1047,camera,skills,if you can delete or review the data,1
1047,healthcare,your children,no condition,1
1047,location,skills,if you can delete or review the data,0
1047,shopping,your partner,no condition,1
1047,shopping,advertising agencies,if you are notified,1
1047,healthcare,your siblings,no condition,1
995,sleep hours,advertising agencies,if you can delete or review the data,1
995,playlists,advertising agencies,no condition,1
995,playlists,advertising agencies,if you are notified,1
995,banking,visitors in general,no condition,1
995,playlists,skills,if the data is anonymous,1
995,sleep hours,assistant provider,no condition,1
995,video call,assistant provider,if you are notified,1
995,location,skills,no condition,1
995,camera,advertising agencies,no condition,1
995,banking,law enforcement agencies,if the data is stored for as long as necessary for the purpose,1
995,location,advertising agencies,if the data is kept confidential,1
995,location,skills,no condition,1
995,camera,your friends,no condition,1
995,location,your partner,no condition,0
995,camera,advertising agencies,if the data is anonymous,1
995,sleep hours,assistant provider,if you are notified,1
995,video call,law enforcement agencies,if you can delete or review the data,1
995,location,skills,no condition,1
995,banking,visitors in general,no condition,1
995,camera,advertising agencies,if the data is kept confidential,1
995,location,advertising agencies,if the data is anonymous,1
995,playlists,skills,if the data is stored for as long as necessary for the purpose,1
995,playlists,your partner,no condition,1
995,camera,your partner,no condition,1
995,location,your children,no condition,0
995,camera,law enforcement agencies,if you can delete or review the data,1
995,playlists,skills,no condition,1
995,camera,neighbours,no condition,1
995,playlists,your siblings,no condition,1
995,banking,law enforcement agencies,if you can delete or review the data,1
995,video call,advertising agencies,no condition,1
995,playlists,advertising agencies,if the data is kept confidential,1
995,location,skills,if the data is kept confidential,1
995,sleep hours,assistant provider,if the data is anonymous,1
